id,price,sale_price
1153,149.0,149.0
1154,154.0,154.0
1155,132.0,
1156,140.0,
1157,155.0,155.0
1158,130.0,130.0
1159,139.95,83.99
1160,136.0,95.0
1161,148.0,148.0
1162,159.0,159.0
1163,131.0,
1164,150.0,105.0
1165,138.95,138.95
1166,150.0,
1167,158.95,95.37
1168,148.0,148.0
1169,150.0,
1170,133.0,133.0
1171,139.0,
1172,140.0,140.0
1173,148.0,148.0
1174,150.0,90.0
1175,140.0,69.99
1176,143.0,
1177,155.0,155.0
1178,139.95,139.95
1179,158.0,137.0
1180,148.0,169.0
1181,158.0,
1182,155.0,39.99
1183,135.0,135.0
1184,140.0,
1185,149.0,89.4
1186,148.0,148.0
1187,155.0,155.0
1188,138.95,138.95
1189,140.0,140.0
1190,159.0,
1191,139.95,139.95
1192,149.95,74.96
1193,149.0,149.0
1194,180.0,144.99
1195,182.0,182.0
1196,171.0,171.0
1197,175.0,
1198,168.0,168.0
1199,178.0,133.5
1200,165.0,
1201,180.0,
1202,160.0,160.0
1203,164.0,
1204,184.95,184.95
1205,168.0,
1206,185.0,123.95
1207,190.0,190.0
1208,189.0,
1209,164.0,
1210,186.0,
1211,170.0,170.0
1212,180.0,
1213,165.0,
1214,175.0,
1215,159.95,111.96
1216,175.0,175.0
1217,169.0,
1218,178.0,
1219,169.0,169.0
1220,175.0,
1221,188.0,141.0
1222,178.0,178.0
1223,170.0,170.0
1224,189.99,189.99
1225,178.0,124.6
1226,178.0,89.0
1227,185.0,185.0
1228,187.0,187.0
1229,185.0,185.0
1230,169.0,126.75
1231,159.95,159.95
1232,168.0,83.98
1233,175.0,175.0
1234,180.0,
1235,184.0,115.0
1236,179.0,125.0
1237,189.0,189.0
1238,184.0,
1239,186.0,74.4
1240,185.0,
1241,178.0,178.0
1242,178.0,178.0
1243,177.0,142.0
1244,188.0,
1245,179.0,
1246,160.0,160.0
1247,165.0,66.0
1248,170.0,170.0
1249,179.0,179.0
1250,180.0,75.6
1251,160.0,
1252,188.0,188.0
1253,174.0,
1254,173.0,121.0
1255,185.0,
1256,159.0,
1257,190.0,190.0
1258,160.0,84.0
1259,180.0,
1260,183.0,174.0
1261,178.0,178.0
1262,178.0,106.8
1263,173.0,173.0
1264,175.0,175.0
1265,169.0,
1266,170.0,134.99
1267,175.0,175.0
1268,175.0,175.0
1269,169.0,
1270,175.0,104.98
1271,189.0,189.0
1272,160.0,95.98
1273,187.0,187.0
1274,185.0,185.0
1275,175.0,
1276,188.0,
1277,188.0,188.0
1278,180.0,108.0
1279,165.0,99.0
1280,180.0,
1281,165.0,
1282,180.0,80.0
1283,190.0,190.0
1284,190.0,133.0
1285,189.0,113.4
1286,185.0,185.0
1287,170.0,170.0
1288,161.0,161.0
1289,174.0,174.0
1290,188.0,
1291,171.0,171.0
1292,180.0,180.0
1293,159.0,106.53
1294,178.0,178.0
1295,175.0,175.0
1296,174.0,174.0
1297,165.0,124.0
1298,168.0,117.6
1299,169.0,
1300,160.0,
1301,161.0,129.0
1302,179.0,107.4
1303,190.0,
1304,165.0,163.0
1305,172.0,138.0
1306,165.0,165.0
1307,160.0,160.0
1308,160.0,128.0
1309,160.0,
1310,170.0,
1311,188.0,141.0
1312,160.0,
1313,181.0,108.6
1314,159.95,159.95
1315,180.0,119.99
1316,189.0,141.75
1317,179.0,
1318,175.0,175.0
1319,159.95,159.95
1320,170.0,102.0
1321,181.0,127.0
1322,170.0,170.0
1323,175.0,175.0
1324,160.0,119.98
1325,175.0,70.0
1326,165.0,
1327,188.0,
1328,186.0,
1329,161.0,105.0
1330,161.0,161.0
1331,189.0,
1332,165.0,
1333,160.0,
1334,170.0,
1335,175.0,175.0
1336,160.0,104.0
1337,160.0,
1338,160.0,160.0
1339,180.0,119.99
1340,189.0,
1341,175.0,
1342,186.0,168.0
1343,180.0,180.0
1344,172.0,172.0
1345,188.0,112.0
1346,165.0,132.0
1347,160.0,144.0
1348,160.0,
1349,180.0,180.0
1350,171.0,162.0
1351,180.0,
1352,181.0,181.0
1353,174.0,
1354,160.0,80.0
1355,174.95,174.95
1356,177.0,177.0
1357,190.0,
1358,185.0,185.0
1359,170.0,170.0
1360,168.0,
1361,176.95,
1362,185.0,185.0
1363,165.0,165.0
1364,188.0,131.6
1365,189.0,
1366,165.0,115.5
1367,160.0,
1368,178.0,106.8
1369,169.0,169.0
1370,185.0,55.43
1371,187.0,149.0
1372,181.0,163.0
1373,180.0,89.98
1374,173.0,173.0
1375,160.0,158.0
1376,178.0,178.0
1377,178.0,
1378,165.0,165.0
1379,164.0,164.0
1380,174.95,174.95
1381,185.0,
1382,167.0,150.0
1383,173.0,
1384,175.0,
1385,160.0,160.0
1386,175.0,167.0
1387,178.0,143.0
1388,160.0,160.0
1389,188.95,188.95
1390,161.0,129.0
1391,189.0,113.4
1392,180.0,180.0
1393,195.0,97.0
1394,206.0,206.0
1395,215.0,183.0
1396,215.0,149.99
1397,209.0,
1398,198.0,71.52
1399,199.0,97.0
1400,195.0,195.0
1401,215.0,215.0
1402,195.0,97.49
1403,225.0,
1404,195.0,117.0
1405,198.0,
1406,198.0,198.0
1407,195.0,195.0
1408,210.0,210.0
1409,218.0,
1410,195.0,
1411,223.0,111.49
1412,198.0,
1413,219.95,219.95
1414,195.0,195.0
1415,225.0,
1416,205.0,205.0
1417,219.0,219.0
1418,195.0,
1419,225.0,225.0
1420,220.0,
1421,225.0,
1422,225.0,
1423,200.0,200.0
1424,195.0,70.0
1425,195.0,
1426,207.0,155.25
1427,198.0,159.0
1428,210.8,
1429,220.0,220.0
1430,218.0,130.8
1431,200.0,139.98
1432,200.0,200.0
1433,213.0,211.0
1434,210.0,
1435,220.0,
1436,205.0,
1437,198.0,
1438,219.0,219.0
1439,199.0,199.0
1440,195.0,117.0
1441,208.0,208.0
1442,198.0,118.8
1443,195.0,
1444,200.0,
1445,198.0,148.5
1446,211.0,211.0
1447,198.0,
1448,215.0,215.0
1449,199.0,149.25
1450,196.0,196.0
1451,220.0,220.0
1452,195.0,129.9
1453,209.0,167.0
1454,214.0,
1455,225.0,56.0
1456,225.0,
1457,195.0,195.0
1458,202.0,202.0
1459,223.0,212.0
1460,195.0,195.0
1461,208.0,208.0
1462,213.0,213.0
1463,220.0,
1464,200.0,200.0
1465,225.0,225.0
1466,215.0,128.98
1467,215.0,
1468,224.0,135.0
1469,220.0,
1470,195.0,195.0
1471,210.0,210.0
1472,199.0,179.1
1473,194.95,194.95
1474,198.0,198.0
1475,225.0,168.75
1476,194.0,194.0
1477,195.0,195.0
