,brands,prices,sale,tier
1270,Theory,175.0,104.98,0 1 0
1271,NEUW,189.0,189.0,0 1 0
1272,Mara Hoffman,160.0,95.98,0 1 0
1273,Michael Kors,187.0,187.0,0 1 0
1274,Lafonn,185.0,185.0,0 1 0
1275,Supreme,175.0,,0 1 0
1276,NIC+ZOE,188.0,,0 1 0
1277,Robert Graham,188.0,188.0,0 1 0
1278,Heidi Klein,180.0,108.0,0 1 0
1279,Camper,165.0,99.0,0 1 0
1280,adidas,180.0,,0 1 0
1281,Nike,165.0,,0 1 0
1282,Reiss,180.0,80.0,0 1 0
1283,The Lazy Poet,190.0,190.0,0 1 0
1284,Off-White,190.0,133.0,0 1 0
1285,City Chic,189.0,113.4,0 1 0
1286,Ancient Greek Sandals,185.0,185.0,0 1 0
1287,Supreme,170.0,170.0,0 1 0
1288,Borrelli,161.0,161.0,0 1 0
1289,Tommy Hilfiger,174.0,174.0,0 1 0
1290,Palace,188.0,,0 1 0
1291,Polo Ralph Lauren,171.0,171.0,0 1 0
1292,Palace,180.0,180.0,0 1 0
1293,Jared Lang,159.0,106.53,0 1 0
1294,Ag,178.0,178.0,0 1 0
1295,Supreme,175.0,175.0,0 1 0
1296,La Perla,174.0,174.0,0 1 0
1297,OAMC,165.0,124.0,0 1 0
1298,Ag,168.0,117.6,0 1 0
1299,adidas,169.0,,0 1 0
1300,Suboo,160.0,,0 1 0
1301,Nike,161.0,129.0,0 1 0
1302,GOOD AMERICAN,179.0,107.4,0 1 0
1303,Supreme,190.0,,0 1 0
1304,Patrizia Pepe,165.0,163.0,0 1 0
1305,Lacoste,172.0,138.0,0 1 0
1306,rag & bone,165.0,165.0,0 1 0
1307,Emilio Pucci,160.0,160.0,0 1 0
1308,GR10K,160.0,128.0,0 1 0
1309,BAPE,160.0,,0 1 0
1310,Vans,170.0,,0 1 0
1311,Ag,188.0,141.0,0 1 0
1312,Supreme,160.0,,0 1 0
1313,Emporio Armani,181.0,108.6,0 1 0
1314,Naot,159.95,159.95,0 1 0
1315,American Home Fashion,180.0,119.99,0 1 0
1316,DL,189.0,141.75,0 1 0
1317,Nourison,179.0,,0 1 0
1318,Dsquared2,175.0,175.0,0 1 0
1319,UGG,159.95,159.95,0 1 0
1320,Emilio Pucci,170.0,102.0,0 1 0
1321,Lauren Ralph Lauren,181.0,127.0,0 1 0
1322,adidas,170.0,170.0,0 1 0
1323,Z Zegna,175.0,175.0,0 1 0
1324,STUDIOSOPHIASOPHIA,160.0,119.98,0 1 0
1325,AZ Collection,175.0,70.0,0 1 0
1326,Vince,165.0,,0 1 0
1327,Botkier,188.0,,0 1 0
1328,Christofle,186.0,,0 1 0
1329,Iceberg,161.0,105.0,0 1 0
1330,White Sand,161.0,161.0,0 1 0
1331,Ted Baker,189.0,,0 1 0
1332,Georg Jensen,165.0,,0 1 0
1333,Topps,160.0,,0 1 0
1334,Jordan,170.0,,0 1 0
1335,Akola,175.0,175.0,0 1 0
1336,Maison Kitsune,160.0,104.0,0 1 0
1337,Boyish Jeans,160.0,,0 1 0
1338,Polo Ralph Lauren,160.0,160.0,0 1 0
1339,American Home Fashion,180.0,119.99,0 1 0
1340,Supreme,189.0,,0 1 0
1341,Velvet,175.0,,0 1 0
1342,Perfect Moment,186.0,168.0,0 1 0
1343,Burberry,180.0,180.0,0 1 0
1344,Closed,172.0,172.0,0 1 0
1345,Agolde,188.0,112.0,0 1 0
1346,David Donahue,165.0,132.0,0 1 0
1347,adidas,160.0,144.0,0 1 0
1348,Nike,160.0,,0 1 0
1349,Reiss,180.0,180.0,0 1 0
1350,Champion,171.0,162.0,0 1 0
1351,Desmond & Dempsey,180.0,,0 1 0
1352,Eastpak,181.0,181.0,0 1 0
1353,Matouk,174.0,,0 1 0
1354,Reiss,160.0,80.0,0 1 0
1355,Ted Baker,174.95,174.95,0 1 0
1356,Ancient Greek Sandals,177.0,177.0,0 1 0
1357,Loreak Mendian,190.0,,0 1 0
1358,rag & bone,185.0,185.0,0 1 0
1359,Kiki de Montparnasse,170.0,170.0,0 1 0
1360,Tory Sport,168.0,,0 1 0
1361,Lenox,176.95,,0 1 0
1362,Nike,185.0,185.0,0 1 0
1363,adidas,165.0,165.0,0 1 0
1364,Eileen Fisher,188.0,131.6,0 1 0
1365,Whistles,189.0,,0 1 0
1366,ALLSAINTS,165.0,115.5,0 1 0
1367,Panini,160.0,,0 1 0
1368,Gal Meets Glam Collection,178.0,106.8,0 1 0
1369,RACHEL Rachel Roy,169.0,169.0,0 1 0
1370,Ralph Lauren,185.0,55.43,0 1 0
1371,Michael Kors,187.0,149.0,0 1 0
1372,Dondup,181.0,163.0,0 1 0
1373,Reiss,180.0,89.98,0 1 0
1374,Nike,173.0,173.0,0 1 0
1375,Emporio Armani,160.0,158.0,0 1 0
1376,Levkoff,178.0,178.0,0 1 0
1377,Ray-Ban,178.0,,0 1 0
1378,adidas,165.0,165.0,0 1 0
1379,Emporio Armani,164.0,164.0,0 1 0
1380,Kurt Geiger,174.95,174.95,0 1 0
1381,Ash,185.0,,0 1 0
1382,Versace,167.0,150.0,0 1 0
1383,John Robshaw,173.0,,0 1 0
1384,Nike,175.0,,0 1 0
1385,Michael Aram,160.0,160.0,0 1 0
1386,COACH,175.0,167.0,0 1 0
1387,Diesel,178.0,143.0,0 1 0
1388,Ray-Ban,160.0,160.0,0 1 0
1389,Andre Assous,188.95,188.95,0 1 0
1390,Eytys,161.0,129.0,0 1 0
1391,Le Gali,189.0,113.4,0 1 0
1392,Nike,180.0,180.0,0 1 0
1393,Nylora,195.0,97.0,0 1 0
1394,Ray-Ban,206.0,206.0,0 1 0
1395,Emporio Armani,215.0,183.0,0 1 0
1396,Ralph Lauren,215.0,149.99,0 1 0
1397,Nike,209.0,,0 1 0
1398,Elie Tahari,198.0,71.52,0 1 0
1399,Paige,199.0,97.0,0 1 0
1400,L'AGENCE,195.0,195.0,0 1 0
1401,Paige,215.0,215.0,0 1 0
1402,Robert Barakett,195.0,97.49,0 1 0
1403,Diadora,225.0,,0 1 0
1404,KENZO,195.0,117.0,0 1 0
1405,BCBG,198.0,,0 1 0
1406,Diesel,198.0,198.0,0 1 0
1407,John Hardy,195.0,195.0,0 1 0
1408,MARC JACOBS,210.0,210.0,0 1 0
1409,The Kooples,218.0,,0 1 0
1410,Ippolita,195.0,,0 1 0
1411,Ray-Ban,223.0,111.49,0 1 0
1412,ALLSAINTS,198.0,,0 1 0
1413,David Tate,219.95,219.95,0 1 0
1414,Dean Davidson,195.0,195.0,0 1 0
1415,Kenneth Cole,225.0,,0 1 0
1416,adidas,205.0,205.0,0 1 0
1417,Fabiana Filippi,219.0,219.0,0 1 0
1418,Eastern Accents,195.0,,0 1 0
1419,Karl Lagerfeld,225.0,225.0,0 1 0
1420,Reiss,220.0,,0 1 0
1421,maje,225.0,,0 1 0
1422,Givenchy,225.0,,0 1 0
1423,Bonpoint,200.0,200.0,0 1 0
1424,Reiss,195.0,70.0,0 1 0
1425,Fleur du Mal,195.0,,0 1 0
1426,Nannacay,207.0,155.25,0 1 0
1427,Diesel,198.0,159.0,0 1 0
1428,Forzieri,210.8,,0 1 0
1429,Gucci,220.0,220.0,0 1 0
1430,Villeroy & Boch,218.0,130.8,0 1 0
1431,Jiwinaia,200.0,139.98,0 1 0
1432,Icebreaker,200.0,200.0,0 1 0
1433,Quantum Courage,213.0,211.0,0 1 0
1434,Seletti,210.0,,0 1 0
1435,Nike,220.0,,0 1 0
1436,William Yeoward,205.0,,0 1 0
1437,Polo Ralph Lauren,198.0,,0 1 0
1438,KENZO,219.0,219.0,0 1 0
1439,Alex Evenings,199.0,199.0,0 1 0
1440,Dolce & Gabbana,195.0,117.0,0 1 0
1441,Citizens of Humanity,208.0,208.0,0 1 0
1442,Current/Elliott,198.0,118.8,0 1 0
1443,Ralph Lauren Home,195.0,,0 1 0
1444,Jordan,200.0,,0 1 0
1445,Rebecca Minkoff,198.0,148.5,0 1 0
1446,Love Moschino,211.0,211.0,0 1 0
1447,BCBG,198.0,,0 1 0
1448,MONICA RICH KOSANN,215.0,215.0,0 1 0
1449,Dalyn Rug Company,199.0,149.25,0 1 0
1450,Mother,196.0,196.0,0 1 0
1451,Loewe,220.0,220.0,0 1 0
1452,Bernardo,195.0,129.9,0 1 0
1453,Paul Smith,209.0,167.0,0 1 0
1454,Supreme,214.0,,0 1 0
1455,Marchesa Notte,225.0,56.0,0 1 0
1456,BAPE,225.0,,0 1 0
1457,Gucci,195.0,195.0,0 1 0
1458,Gas Bijoux,202.0,202.0,0 1 0
1459,Alexander Wang,223.0,212.0,0 1 0
1460,Fleur du Mal,195.0,195.0,0 1 0
1461,Paul Smith,208.0,208.0,0 1 0
1462,Boss Hugo Boss,213.0,213.0,0 1 0
1463,Illesteva,220.0,,0 1 0
1464,Cole Haan,200.0,200.0,0 1 0
1465,Versace,225.0,225.0,0 1 0
1466,LoveShackFancy,215.0,128.98,0 1 0
1467,Emporio Armani,215.0,,0 1 0
1468,Aspesi,224.0,135.0,0 1 0
1469,Reigning Champ,220.0,,0 1 0
1470,Pierre Hardy,195.0,195.0,0 1 0
1471,Nudie Jeans,210.0,210.0,0 1 0
1472,Flower Mountain,199.0,179.1,0 1 0
1473,Imagine by Vince Camuto,194.95,194.95,0 1 0
1474,Veronica Beard,198.0,198.0,0 1 0
1475,Michael Kors,225.0,168.75,0 1 0
1476,Tommy Hilfiger,194.0,194.0,0 1 0
1477,Robert Barakett,195.0,195.0,0 1 0
1478,Supreme,219.0,,0 1 0
1479,Natasha Zinko,215.0,129.0,0 1 0
1480,Jordan,200.0,,0 1 0
1481,Mcq Alexander Mcqueen,193.0,116.0,0 1 0
1482,Jarlo,210.0,126.0,0 1 0
1483,Salvatore Ferragamo,190.0,,0 1 0
1484,Polo Ralph Lauren,198.0,99.0,0 1 0
1485,rag & bone,225.0,150.75,0 1 0
1486,RtA,215.0,215.0,0 1 0
1487,Calvin Klein 205W39NYC,200.0,200.0,0 1 0
1488,Ralph Lauren,225.0,168.75,0 1 0
1489,Badgley Mischka,198.0,79.2,0 1 0
1490,Senso,198.0,139.0,0 1 0
1491,Antony Morato,193.0,144.75,0 1 0
1492,Patrizia Pepe,203.0,203.0,0 1 0
1493,Kiton,197.0,187.0,0 1 0
1494,Jack Mason,225.0,225.0,0 1 0
1495,Frame,201.48,,0 1 0
1496,Reiss,195.0,195.0,0 1 0
1497,Alexander McQueen,220.0,220.0,0 1 0
1498,Boss Hugo Boss,198.0,,0 1 0
1499,Solid & Striped,215.0,215.0,0 1 0
1500,Palace,200.0,,0 1 0
1501,Loeffler Randall,225.0,90.0,0 1 0
1502,Dunhill,210.0,,0 1 0
1503,Natasha Zinko,197.0,138.0,0 1 0
1504,Post-imperial,225.0,,0 1 0
1505,Birkenstock,210.0,199.95,0 1 0
1506,SFERRA,220.0,,0 1 0
1507,Mignonne Gavigan,225.0,,0 1 0
1508,Fleur du Mal,195.0,195.0,0 1 0
1509,Michael Kors,225.0,225.0,0 1 0
1510,Visconti,215.0,,0 1 0
1511,Reiss,220.0,220.0,0 1 0
1512,rag & bone,195.0,146.25,0 1 0
1513,Solid & Striped,215.0,215.0,0 1 0
1514,Roberto Collina,211.0,127.0,0 1 0
1515,Cole Haan,200.0,124.9,0 1 0
1516,Topman,195.0,195.0,1 0 0
1517,rag & bone,225.0,,0 1 0
1518,Show Me Your Mumu,216.0,216.0,0 1 0
1519,Herend,210.0,,0 1 0
1520,Labrazel,210.0,,0 1 0
1521,SFERRA,200.0,,0 1 0
1522,Ancient Greek Sandals,225.0,158.0,0 1 0
1523,Topman,195.0,116.98,1 0 0
1524,Cole Haan,220.0,110.0,0 1 0
1525,Eileen Fisher,195.0,77.93,0 1 0
1526,Maison Kitsune,195.0,195.0,0 1 0
1527,Ermenegildo Zegna,195.0,195.0,0 1 0
1528,Anke Drechsel,222.0,222.0,0 1 0
1529,Fornasetti,202.0,202.0,0 1 0
1530,A.P.C.,220.0,198.0,0 1 0
1531,Nike,205.0,205.0,0 1 0
1532,Apparis,220.0,220.0,0 1 0
1533,Kith,215.0,,0 1 0
1534,IRO,219.0,153.0,0 1 0
1535,Apparis,215.0,215.0,0 1 0
1536,Waterford,195.0,,0 1 0
1537,Karl Lagerfeld,225.0,113.0,0 1 0
1538,Aqua,198.0,,0 1 0
1539,Waterford,200.0,140.0,0 1 0
1540,John Smedley,225.0,225.0,0 1 0
1541,Eileen Fisher,198.0,97.02,0 1 0
1542,Versace,193.0,155.0,0 1 0
1543,Diesel,200.0,200.0,0 1 0
1544,Barba,200.0,200.0,0 1 0
1545,Hudson Jeans,215.0,128.98,0 1 0
1546,Dolce & Gabbana,225.0,221.0,0 1 0
1547,Jordan,220.0,,0 1 0
1548,ara,194.95,194.95,0 1 0
1549,Ermenegildo Zegna,195.0,,0 1 0
1550,Chin Teo,205.0,205.0,0 1 0
1551,Iceberg,195.0,176.0,0 1 0
1552,B-Low the Belt,209.0,209.0,0 1 0
1553,J Brand,198.0,89.1,0 1 0
1554,Noah,220.0,,0 1 0
1555,Nike,222.0,,0 1 0
1556,Zachary Prell,198.0,198.0,0 1 0
1557,ISABEL MARANT,190.0,190.0,0 1 0
1558,Frame,220.0,220.0,0 1 0
1559,Ermenegildo Zegna,195.0,195.0,0 1 0
1560,Karl Lagerfeld,205.0,103.0,0 1 0
1561,Fleur du Mal,198.0,198.0,0 1 0
1562,Eileen Fisher,198.0,,0 1 0
1563,Repetto,205.0,,0 1 0
1564,Whistles,199.0,,0 1 0
1565,DKNY,215.0,169.99,0 1 0
1566,Versace,215.0,,0 1 0
1567,Supreme,193.0,,0 1 0
1568,ALALA,215.0,107.0,0 1 0
1569,Nudie Jeans,210.0,210.0,0 1 0
1570,Suboo,223.0,221.0,0 1 0
1571,BCBG,198.0,,0 1 0
1572,STAUD,210.0,210.0,0 1 0
1573,Off-White,213.0,,0 1 0
1574,MSGM,212.0,149.0,0 1 0
1575,Hobbs London,210.0,105.0,0 1 0
1576,ROSSIGNOL,200.0,200.0,0 1 0
1577,Burberry,220.0,220.0,0 1 0
1578,Travis Scott,211.0,,0 1 0
1579,Suicoke,213.0,213.0,0 1 0
1580,Ralph Lauren,215.0,129.0,0 1 0
1581,Off-White,200.0,,0 1 0
1582,Reiss,195.0,55.0,0 1 0
1583,Dr. Martens,219.0,219.0,0 1 0
1584,Donna Karan,190.0,149.99,0 1 0
1585,Rebecca Taylor,195.0,195.0,0 1 0
1586,Palace,195.0,,0 1 0
1587,Billy Reid,195.0,97.49,0 1 0
1588,Eric Emanuel,200.0,,0 1 0
1589,Eliza J,208.0,99.84,0 1 0
1590,Off-White,225.0,225.0,0 1 0
1591,Eton,225.0,225.0,0 1 0
1592,Le Creuset,250.0,200.0,0 1 0
1593,3x1,255.0,102.0,0 1 0
1594,Renwil,248.0,248.0,0 1 0
1595,The Men's Store At Bloomingdale's,228.0,,0 1 0
1596,Versace,259.0,181.0,0 1 0
1597,Mother,266.0,266.0,0 1 0
1598,Vagabond Shoemakers,239.95,239.95,0 1 0
1599,Roberto Collina,255.0,255.0,0 1 0
1600,COACH,250.0,250.0,0 1 0
1601,Hudson Jeans,245.0,110.0,0 1 0
1602,Missoni,255.0,,0 1 0
1603,Re/Done,230.0,91.98,0 1 0
1604,MSGM,240.0,120.0,0 1 0
1605,OVADIA & SONS,270.0,202.5,0 1 0
1606,Whistles,239.0,167.0,0 1 0
1607,Feng Chen Wang,245.0,245.0,0 1 0
1608,Fisico,273.0,273.0,0 1 0
1609,Burberry,240.0,240.0,0 1 0
1610,Michael Kors,258.0,193.5,0 1 0
1611,Muun,266.0,263.0,0 1 0
1612,Ash,260.0,208.0,0 1 0
1613,Tom Ford,250.0,100.0,0 1 0
1614,Adidas Originals by Alexander Wang,259.0,259.0,0 1 0
1615,Officine Generale,265.0,,0 1 0
1616,Palace,250.0,,0 1 0
1617,Versace,271.0,217.0,0 1 0
1618,Nourison,259.0,,0 1 0
1619,Zimmerli,232.0,,0 1 0
1620,French Connection,258.0,154.8,0 1 0
1621,Boss Hugo Boss,248.0,148.8,0 1 0
1622,Dolce & Gabbana,275.0,,0 1 0
1623,Opening Ceremony,230.0,230.0,0 1 0
1624,Le Parmentier,238.0,,0 1 0
1625,Donna Karan,250.0,,0 1 0
1626,Universal Standard,230.0,230.0,0 1 0
1627,Derek Rose,245.0,,0 1 0
1628,Theory,235.0,176.0,0 1 0
1629,Versace,270.0,132.0,0 1 0
1630,Club Monaco,229.0,114.5,0 1 0
1631,Nike,250.0,,0 1 0
1632,Mignonne Gavigan,250.0,250.0,0 1 0
1633,Gerard Darel,255.0,127.5,0 1 0
1634,Diesel,228.0,228.0,0 1 0
1635,Closed,246.0,246.0,0 1 0
1636,Mignonne Gavigan,275.0,275.0,0 1 0
1637,Julius,245.0,243.0,0 1 0
1638,COACH,250.0,250.0,0 1 0
1639,Alexander McQueen,228.0,216.0,0 1 0
1640,Supreme,239.0,,0 1 0
1641,Adrianna Papell,249.0,,0 1 0
1642,Palace,258.0,,0 1 0
1643,Calvin Klein,266.0,226.0,0 1 0
1644,VALENTINO,245.0,245.0,0 1 0
1645,Supreme,274.0,,0 1 0
1646,Aries,250.0,225.0,0 1 0
1647,Arron,245.0,147.0,0 1 0
1648,Allen Edmonds,245.0,245.0,0 1 0
1649,Supreme,250.0,,0 1 0
1650,Michael Kors,250.0,250.0,0 1 0
1651,Levi's,228.0,228.0,0 1 0
1652,NIC+ZOE,238.0,238.0,0 1 0
1653,Diane von Furstenberg,248.0,248.0,0 1 0
1654,Emporio Armani,230.0,230.0,0 1 0
1655,A.P.C.,265.0,,0 1 0
1656,Vilebrequin,250.0,250.0,0 1 0
1657,Whistles,239.0,167.0,0 1 0
1658,Converse,230.0,230.0,0 1 0
1659,Faliero Sarti,231.0,185.0,0 1 0
1660,Ksubi,271.0,271.0,0 1 0
1661,Tory Burch,238.0,,0 1 0
1662,Ann Demeulemeester,254.0,216.0,0 1 0
1663,Current/Elliott,248.0,124.0,0 1 0
1664,rag & bone,250.0,74.93,0 1 0
1665,Oliver Gal,255.0,,0 1 0
1666,Linda Farrow,245.0,245.0,0 1 0
1667,Etro,230.0,224.0,0 1 0
1668,Michael Aram,230.0,,0 1 0
1669,Anne De Solene,237.5,,0 1 0
1670,Salvatore Ferragamo,234.0,234.0,0 1 0
1671,Poppy Finch,250.0,250.0,0 1 0
1672,Vince,245.0,98.0,0 1 0
1673,Illesteva,230.0,138.0,0 1 0
1674,Le Creuset,250.0,200.0,0 1 0
1675,Adam Selman Sport,235.0,59.0,0 1 0
1676,Marni,259.0,169.0,0 1 0
1677,adidas,229.0,,0 1 0
1678,Emporio Armani,267.0,267.0,0 1 0
1679,Frame,256.0,179.0,0 1 0
1680,The Kooples,258.0,,0 1 0
1681,Kith,235.0,,0 1 0
1682,Lewit,249.0,249.0,0 1 0
1683,Brides And Hairpins,235.0,235.0,0 1 0
1684,Furla,250.0,250.0,0 1 0
1685,Palace,240.0,,0 1 0
1686,Roberto Collina,228.0,228.0,0 1 0
1687,Michael Stars,228.0,228.0,0 1 0
1688,A Shirt Thing,245.0,245.0,0 1 0
1689,Love by Theia,235.0,176.25,0 1 0
1690,Aenea,265.0,,0 1 0
1691,Pendleton,229.0,229.0,0 1 0
1692,MARIA BLACK,229.0,229.0,0 1 0
1693,Kith,245.0,,0 1 0
1694,Prada,230.0,230.0,0 1 0
1695,Off-White,245.0,,0 1 0
1696,Dsquared2,235.0,235.0,0 1 0
1697,Parker,228.0,,0 1 0
1698,Ancient Greek Sandals,260.0,195.0,0 1 0
1699,Olivia Riegel,250.0,,0 1 0
1700,Paige,239.0,119.5,0 1 0
1701,Philippe Model,266.0,266.0,0 1 0
1702,Fleur du Mal,245.0,123.0,0 1 0
1703,L'AGENCE,235.0,,0 1 0
1704,Via Spiga,250.0,112.5,0 1 0
1705,Bashian,238.0,178.5,0 1 0
1706,Tory Burch,258.0,258.0,0 1 0
1707,Nike,260.0,,0 1 0
1708,Eytys,240.0,162.0,0 1 0
1709,Derek Rose,230.0,,0 1 0
1710,Vince Camuto,228.0,128.16,0 1 0
1711,BAPE,244.0,,0 1 0
1712,Off-White,245.0,,0 1 0
1713,Paper London,230.0,172.5,0 1 0
1714,Mother,228.0,114.0,0 1 0
1715,Psychworld,250.0,,0 1 0
1716,Palace,258.0,,0 1 0
1717,L'AGENCE,230.0,173.0,0 1 0
1718,Kith,260.0,,0 1 0
1719,Acler,250.0,,0 1 0
1720,adidas,230.0,230.0,0 1 0
1721,Jordan,230.0,,0 1 0
1722,Nike,250.0,,0 1 0
1723,Nike,246.0,,0 1 0
1724,Miu Miu,260.0,260.0,0 1 0
1725,BCBG,248.0,,0 1 0
1726,Barena Venezia,243.0,243.0,0 1 0
1727,Mother,238.0,238.0,0 1 0
1728,Umbra,250.0,,0 1 0
1729,Hermès Pre-Owned,234.0,234.0,0 1 0
1730,Ader Error,235.0,207.0,0 1 0
1731,Nike,230.0,,0 1 0
1732,adidas,249.0,,0 1 0
1733,Reiss,240.0,,0 1 0
1734,MISBHV,265.0,265.0,0 1 0
1735,District Vision,250.0,225.0,0 1 0
1736,Fleur du Mal,245.0,245.0,0 1 0
1737,John Smedley,255.0,255.0,0 1 0
1738,Karastan,260.0,,0 1 0
1739,Boss Hugo Boss,248.0,,0 1 0
1740,Chloé,273.0,192.0,0 1 0
1741,The North Face,249.0,249.0,0 1 0
1742,Michael Aram,250.0,,0 1 0
1743,Alexis Bittar,255.0,255.0,0 1 0
1744,Reiss,230.0,90.0,0 1 0
1745,Grenson,246.0,246.0,0 1 0
1746,LADORADA,255.0,,0 1 0
1747,Ag,235.0,235.0,0 1 0
1748,Paige,239.0,,0 1 0
1749,Diesel,228.0,228.0,0 1 0
1750,After Six,250.0,250.0,0 1 0
1751,Ted Baker,245.0,245.0,0 1 0
1752,L'Autre Chose,271.0,271.0,0 1 0
1753,Oscar de la Renta,270.0,,0 1 0
1754,Ted Muehling,245.0,,0 1 0
1755,Gas Bijoux,269.0,269.0,0 1 0
1756,Tory Burch,271.0,190.0,0 1 0
1757,Boss Hugo Boss,248.0,248.0,0 1 0
1758,Tory Burch,250.0,250.0,0 1 0
1759,Lewit,249.0,149.4,0 1 0
1760,Vilebrequin,260.0,260.0,0 1 0
1761,Roberto Collina,266.0,253.0,0 1 0
1762,Oriental Weavers,266.0,199.5,0 1 0
1763,Paul Smith,272.0,,0 1 0
1764,Helmut Lang,230.0,57.0,0 1 0
1765,Northskull,258.0,154.8,0 1 0
1766,John Richmond,257.0,145.0,0 1 0
1767,Cristel,252.99,,0 1 0
1768,Diane James Home,255.0,,0 1 0
1769,Nike,250.0,,0 1 0
1770,Moncler,260.0,260.0,0 1 0
1771,Alex Evenings,239.0,143.4,0 1 0
1772,Louis Vuitton,250.0,,0 1 0
1773,Dessy Collection,263.0,263.0,0 1 0
1774,Versace,230.0,230.0,0 1 0
1775,Milly Minis,250.0,122.0,0 1 0
1776,Michael Aram,250.0,,0 1 0
1777,MOUSSY Vintage,245.0,150.0,0 1 0
1778,Johnny Was,240.0,,0 1 0
1779,Hudson Park Collection,260.0,,0 1 0
1780,Rebecca Minkoff,228.0,136.8,0 1 0
1781,L'AGENCE,265.0,,0 1 0
1782,MSGM,270.0,135.0,0 1 0
1783,Schutz,250.0,137.0,0 1 0
1784,Mi Mi Sol,262.0,262.0,0 1 0
1785,Frame,245.0,,0 1 0
1786,TRAVE,258.0,258.0,0 1 0
1787,Anne De Solene,250.0,,0 1 0
1788,Jordan,230.0,230.0,0 1 0
1789,Woolrich,234.0,234.0,0 1 0
1790,Nike,244.0,,0 1 0
1791,Nike,309.0,309.0,0 1 0
1792,Kith,285.0,,0 1 0
1793,Amaio Swim,276.0,,0 1 0
1794,Moschino,295.0,295.0,0 1 0
1795,Frye,277.95,166.77,0 1 0
1796,Maria Tash,275.0,275.0,0 1 0
1797,Jenny Yoo,295.0,147.49,0 1 0
1798,Moncler,300.0,,0 1 0
1799,Dsquared2,280.0,280.0,0 1 0
1800,Fumito Ganryu,307.0,291.0,0 1 0
1801,Veronica Beard,298.0,298.0,0 1 0
1802,Asceno,295.0,177.0,0 1 0
1803,Taylor,279.0,279.0,0 1 0
1804,Christian Louboutin,290.0,290.0,0 1 0
1805,A.P.C.,280.0,,0 1 0
1806,Private Stock,298.0,298.0,0 1 0
1807,Royal Fern,295.0,,0 1 0
1808,Citizens of Humanity,278.0,278.0,0 1 0
1809,T Tahari,278.0,208.5,0 1 0
1810,Villeroy & Boch,283.0,169.8,0 1 0
1811,Isabel Marant Etoile,275.0,275.0,0 1 0
1812,Joseph,295.0,295.0,0 1 0
1813,Reiss,295.0,295.0,0 1 0
1814,Incotex,306.0,306.0,0 1 0
1815,Jordan,285.0,285.0,0 1 0
1816,Vanessa Seward,313.0,251.0,0 1 0
1817,Acne Studios,280.0,,0 1 0
1818,Tous,300.0,,0 1 0
1819,Gentle Monster,280.0,280.0,0 1 0
1820,Supreme,309.0,309.0,0 1 0
1821,Dsquared2,295.0,207.0,0 1 0
1822,Just Cavalli,275.0,193.0,0 1 0
1823,ba & sh,275.0,192.5,0 1 0
1824,Panconesi,295.0,295.0,0 1 0
1825,Ted Baker,295.0,295.0,0 1 0
1826,Canali,275.0,137.49,0 1 0
1827,BAPE,300.0,,0 1 0
1828,Irobot,299.99,,0 1 0
1829,Heron Preston,320.0,320.0,0 1 0
1830,Jaipur,322.0,,0 1 0
1831,Nike,299.0,,0 1 0
1832,Lisa Marie Fernandez,275.0,190.0,0 1 0
1833,Acne Studios,300.0,300.0,0 1 0
1834,Ramy Brook,295.0,295.0,0 1 0
1835,MCM,313.0,313.0,0 1 0
1836,OOO Traveling,278.0,,0 1 0
1837,New Balance,300.0,,0 1 0
1838,Dsquared2,295.0,118.0,0 1 0
1839,Sisley Paris,275.0,275.0,0 1 0
1840,3x1,275.0,144.38,0 1 0
1841,Isabel Benenato,322.0,226.0,0 1 0
1842,Fame and Partners,279.0,279.0,0 1 0
1843,Surya,285.0,213.75,0 1 0
1844,Hobbs London,315.0,235.0,0 1 0
1845,Cinq a Sept,295.0,118.0,0 1 0
1846,Kaws,295.0,,0 1 0
1847,Marsell,288.0,288.0,0 1 0
1848,Natasha Zinko,321.0,225.0,0 1 0
1849,Stone Island,323.0,323.0,0 1 0
1850,Emporio Armani,282.0,254.0,0 1 0
1851,Diesel,278.0,278.0,0 1 0
1852,Barena Venezia,310.0,310.0,0 1 0
1853,A.P.C.,284.0,142.0,0 1 0
1854,Gucci,320.0,320.0,0 1 0
1855,By Malene Birger,302.0,302.0,0 1 0
1856,Simon Pearce,320.0,,0 1 0
1857,Polo Ralph Lauren,298.0,298.0,0 1 0
1858,Proenza Schouler,275.0,275.0,0 1 0
1859,Joseph,315.0,,0 1 0
1860,Prada,280.0,280.0,0 1 0
1861,Dries Van Noten,315.0,315.0,0 1 0
1862,MARIA BLACK,314.0,314.0,0 1 0
1863,KENZO,295.0,295.0,0 1 0
1864,Neil Barrett,295.0,,0 1 0
1865,Lafayette 148 New York,298.0,,0 1 0
1866,Moschino,314.0,314.0,0 1 0
1867,Gucci,320.0,,0 1 0
1868,Piazza Sempione,313.0,251.0,0 1 0
1869,Diane von Furstenberg,298.0,298.0,0 1 0
1870,Emporio Armani,293.0,293.0,0 1 0
1871,Acne Studios,290.0,290.0,0 1 0
1872,La Mer,285.0,285.0,0 1 0
1873,Tateossian,315.0,315.0,0 1 0
1874,ALLSAINTS,290.0,173.98,0 1 0
1875,Rebecca Taylor,295.0,295.0,0 1 0
1876,Gucci,309.0,,0 1 0
1877,Peserico,306.0,306.0,0 1 0
1878,Rick Owens,292.0,292.0,0 1 0
1879,MISSONIHOME,315.0,,0 1 0
